"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: shift","Param: size"
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftArithmetic","thrpt",1,5,7.557823,0.065235,"ops/us",0,250
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftArithmetic","thrpt",1,5,7.256637,0.981208,"ops/us",0,256
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftArithmetic","thrpt",1,5,7.476520,0.035784,"ops/us",0,262
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftArithmetic","thrpt",1,5,1.976303,0.026156,"ops/us",0,1018
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftArithmetic","thrpt",1,5,1.958443,0.023188,"ops/us",0,1024
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftArithmetic","thrpt",1,5,1.966061,0.026168,"ops/us",0,1030
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftArithmetic","thrpt",1,5,7.543830,0.109140,"ops/us",1,250
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftArithmetic","thrpt",1,5,7.366226,0.046778,"ops/us",1,256
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftArithmetic","thrpt",1,5,7.691954,0.380654,"ops/us",1,262
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftArithmetic","thrpt",1,5,1.970481,0.042620,"ops/us",1,1018
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftArithmetic","thrpt",1,5,2.039890,0.120633,"ops/us",1,1024
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftArithmetic","thrpt",1,5,1.965348,0.010959,"ops/us",1,1030
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftArithmetic","thrpt",1,5,7.525700,0.216891,"ops/us",7,250
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftArithmetic","thrpt",1,5,7.347915,0.071271,"ops/us",7,256
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftArithmetic","thrpt",1,5,7.488201,0.037903,"ops/us",7,262
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftArithmetic","thrpt",1,5,2.009900,0.032639,"ops/us",7,1018
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftArithmetic","thrpt",1,5,1.958373,0.044689,"ops/us",7,1024
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftArithmetic","thrpt",1,5,2.044459,0.216456,"ops/us",7,1030
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftArithmetic","thrpt",1,5,7.536948,0.124611,"ops/us",8,250
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftArithmetic","thrpt",1,5,7.336482,0.059378,"ops/us",8,256
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftArithmetic","thrpt",1,5,7.470758,0.151656,"ops/us",8,262
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftArithmetic","thrpt",1,5,1.972328,0.026727,"ops/us",8,1018
"com.openkappa.simd.byteshift.ByteShiftBenchmark.shiftArithmetic","thrpt",1,5,2.027925,0.170155,"ops/us",8,1024
